Country,Countrycode,BiocapPerCap_1996,BiocapPerCap_1986,BiocapPerCap_1971,TEF_Consumption,Total_Biocapacity,Overshoot,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014,GenderGapIndex_2018,GGGeconomicsub_2018,GGGeducationsub_2018,GGGhealthsub_2018,GGGpoliticalsub_2018,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
Eritrea,ERI,2.551633459,NA,NA,0.5,1.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,EST,8.628213567,NA,NA,7.1,9.5,2.46,26930.87998,28122.86793,31035.39362,17315.14315,18081.52887,19954.13011,68.88,68.563,68.269,0.734,0.729,1,0.979,0.228,7.89,6.19,7.4,9.27,8.42,8.2
Eswatini,SWZ,1.115708226,1.581467321,2.479600377,1.9,0.9,-1.01,9052.402129,9219.542879,9439.208387,4578.28857,4662.820673,4773.917382,23.799,23.459,23.149,NA,NA,NA,NA,NA,6.52,5.25,4.88,7.72,7.01,7.74
Ethiopia,ETH,0.621922225,1.065883991,1.583786499,1,0.6,-0.44,1413.962518,1617.322669,1794.290806,449.4203771,514.0573068,570.3056768,20.763,19.866,18.998,0.656,0.606,0.819,0.976,0.223,5.72,5.58,4.66,6.49,5.13,6.72
Faroe Islands,FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.064,41.777,41.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,FJI,2.724532045,2.981844821,3.790628374,3.1,2.4,-0.8,8405.905166,8957.280871,9653.618373,4175.424039,4449.306188,4795.194499,56.248,55.235,54.216,0.669,0.603,0.991,0.979,0.104,6.74,5.97,5.34,7.01,6.43,8.94
Finland,FIN,13.86727057,14.03876366,14.66941255,6.3,12.6,6.37,39301.05876,40310.59366,42060.80412,45550.49814,46720.56375,48749.08311,85.382,85.275,85.175,0.821,0.786,1,0.977,0.519,7.8,4.71,8.78,9.41,8.22,7.89
France,FRA,2.945035212,2.731286409,2.608697511,4.4,2.4,-2.07,37575.81182,38097.87704,39555.54466,41478.24697,42054.53126,43663.58492,80.444,79.917,79.394,0.779,0.685,1,0.974,0.458,7.35,4.82,6.99,9.48,8.16,7.32
French Guiana,NA,195.0766311,NA,NA,2.4,97.1,94.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,PYF,1.3341667,1.476029558,2.473403505,4,1.4,-2.68,NA,NA,NA,NA,NA,NA,61.834,61.734,61.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,GAB,38.50830561,49.87224171,72.13413408,2.3,22.1,19.84,16606.91902,16523.58578,15861.58536,9467.363786,9419.856712,9042.459867,89.37,88.559,87.651,NA,NA,NA,NA,NA,5.88,6.29,4.21,6.12,5.91,6.85
Gambia,GMB,1.214945812,1.943215437,3.377079035,1,0.7,-0.27,2203.733684,2201.652888,2317.690217,747.7087319,747.0027351,786.3732473,61.27,59.918,58.528,0.642,0.598,0.896,0.97,0.106,7.23,7.23,5.43,9.22,7.19,7.06
Georgia,GEO,NA,NA,NA,2.1,1.3,-0.8,9179.19,9707.630682,10651.94209,4068.52909,4302.751967,4721.302887,58.632,57.837,57.067,0.677,0.654,0.996,0.967,0.093,7.94,7.58,6.34,8.89,8.74,8.15
Germany,DEU,1.632730416,1.609096085,1.457943431,4.8,1.6,-3.22,43474.67516,44467.21879,45936.18271,44933.72041,45959.57461,47477.83815,77.312,77.224,77.19,0.776,0.734,0.976,0.973,0.418,7.82,6.17,7.42,9.46,8.04,8
Ghana,GHA,1.435533113,1.566507304,2.389406714,2,1.3,-0.65,3791.280251,3830.497662,4211.845783,1626.622783,1643.448744,1807.063539,56.06,54.749,53.419,0.688,0.753,0.935,0.968,0.097,6.58,8.01,5.23,5.88,6.59,7.18
Gibraltar,GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,GRC,1.6816958,1.779254314,1.581408707,4.3,1.6,-2.71,24081.63053,24188.99492,25140.70314,22565.68048,22666.28623,23558.08397,79.058,78.387,77.702,0.696,0.684,0.992,0.971,0.138,6.59,4.39,5.73,7.98,7.68,7.17
Greenland,GRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,46378.38303,47413.62248,49310.00671,86.816,86.326,85.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,GRD,NA,NA,NA,2.9,2.1,-0.83,11757.59609,12822.65745,13804.57741,7747.500731,8449.307769,9096.329959,36.272,36.072,35.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadeloupe,NA,0.520387705,0.643110388,0.83271391,4.1,0.5,-3.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,GUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,32169.56444,32027.5816,31477.26691,94.78,94.617,94.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,GTM,1.42065735,1.55541537,1.939171554,1.9,1,-0.85,7147.563077,7368.339087,7508.864463,3007.920435,3100.829958,3159.967477,51.054,50.319,49.634,0.668,0.623,0.968,0.98,0.102,7.57,9.44,4.33,9.55,8.03,6.5
Guinea,GIN,2.85911913,4.312178742,5.278576905,1.6,2,0.43,1836.532318,2007.370105,2222.630126,741.0381352,809.9709354,896.8280428,36.14,35.46,34.836,0.656,0.82,0.682,0.962,0.162,5.86,5.4,3.24,7.78,5.93,6.94
Guinea-Bissau,GNB,4.087488968,5.054161133,6.262763652,1.5,2.9,1.4,1425.770644,1526.8088,1596.35546,555.6050487,594.9783587,622.0798254,43.36,42.533,41.715,NA,NA,NA,NA,NA,5.23,5.04,2.85,6.27,6.16,5.85
Guyana,GUY,70.84454445,69.57802166,82.33822143,3.4,67.6,64.24,6910.679656,7285.100673,7667.13049,3598.347104,3793.305755,3992.226259,26.606,26.482,26.414,NA,NA,NA,NA,NA,6.32,5.72,4.8,8.37,6.29,6.41
Haiti,HTI,0.280744035,0.396266926,0.484126067,0.7,0.3,-0.35,1656.315765,1655.294377,1656.293904,730.3063521,729.8559997,730.296713,55.278,53.396,51.444,NA,NA,NA,NA,NA,6.49,8.5,2.5,7.08,7.47,6.86
Honduras,HND,2.751672012,3.790707814,5.858725299,1.6,1.5,-0.02,4162.166942,4337.583585,4559.736508,2025.814195,2111.193164,2219.319665,57.096,55.813,54.514,0.706,0.673,1,0.977,0.176,7.16,8.84,3.7,9.12,7.22,6.91
"Hong Kong SAR, China",HKG,NA,NA,NA,NA,NA,NA,52789.43908,54420.07622,57318.05783,35717.69137,36820.99148,38781.78543,100,100,100,NA,NA,NA,NA,NA,8.91,8.19,7.93,9.63,9.33,9.44
